rating,text,title,username
5,Thankful that I was able to find on Amazon for a great price and even better shipping. Arrived in perfect condition and did exactly what I needed it to. Great purchase and would purchase again.,... I was able to find on Amazon for a great price and even better shipping,ByAmazon Customer
1,I don't know if I would buy thus brand again seems like they don't last as long as Duracell,... know if I would buy thus brand again seems like they don't last as long as Duracell,ByLaura
2,"In my opinion these did not last anywhere near as long as Duracel in things like LED candles (which is crazy) and trail cameras. Cameras were not exposed to cold temps more or less than other batteries. WE buy in bulk for the north house. Amazon Basics is great for things like sheets and beeding and towels. In my opinion the battery life, in the large package of aaa and aa size we purchased were lacking.",... last anywhere near as long as Duracel in things like LED candles (which is crazy) and trail cameras,ByFlip Flop Life
4,They don't last as long as the brand name but are good enough considering they are much cheaper.,... last as long as the brand name but are good enough considering they are much cheaper,ByAdam
3,Bought these batteries for my Christmas gifts the month of (december) only lasted like 2months toys now need replacement batteries . I also used some for my doorbell and just now needs replacement batteries. Tv Remote control is still working but these batteries don't last very long...,... my Christmas gifts the month of (december) only lasted like 2months toys now need replacement batteries,ByAmazon Customer
4,This my second order and they seem to work as good as name brand and ship to my door.,... my second order and they seem to work as good as name brand and ship to my door,Byfredrick m. gjedde
5,This was my second purchase of amazon batteries and they work great. Just as good or even better than name brand batteries and half the price. This will be the only way I purchase batteries from now on!,... my second purchase of amazon batteries and they work great. Just as good or even better than name ...,ByLisa
5,They last as long as Duracell batteries in my Xbox one controllers and none of them exploded like some of the reviews said.,... my Xbox one controllers and none of them exploded like some of the reviews said,ByJessica
4,they seemed to not last as long as other name brand names disappointed!,... not last as long as other name brand names disappointed!,Byskiperbear
1,These do not last long at all very cheap batteries no happy,... not last long at all very cheap batteries no happy,ByDiane ault
4,have not used yet but a battery is a battery good price,... not used yet but a battery is a battery good price,ByAmazon Customer
4,"These Amazon batteries did the job although I gave 4star only because I had a few I would say a hand full of batteries that were not as strong or were pretty weak but out of a box of 48 batteries, I will definitely buy again for this priceIm pretty well satisfied.Thank you!",... of batteries that were not as strong or were pretty weak but out of a box of 48 batteries,ByRoman E Ramirez
5,We've ordered these a few times cause we've been so happy with product. These are good quality. We are also happy with price. I would recommend these.,... ordered these a few times cause we've been so happy with product,ByJoshua and Nikki
5,HAVE NOT HAD CHANCE TO USE ALL OF THEM BUT HOPEFULLY ALL OF THEM WILL REMAIN IN GOOD ORDER FOR A REASONABLE AMOUNT OF TIME MEANING A FEW YEARS OUT.,... THEM BUT HOPEFULLY ALL OF THEM WILL REMAIN IN GOOD ORDER FOR A REASONABLE AMOUNT OF TIME MEANING A ...,ByIris Castillo
3,"these were under a light we thought they were there to fit the light when they arrived and nice company they were not the batteries we needed it should have been aa but that is ok,it was our fault not knowing this. thanks..",... there to fit the light when they arrived and nice company they were not the batteries we needed it ...,Bymerle
4,"I use these batteries in my game cameras and they work great, last several weeks.","... these batteries in my game cameras and they work great, last several weeks",ByAmazon Customer
5,Very convenient to have a box of batteries and at a good price. No longer need to compare pricing in stores. Should have done this long time ago.,... to have a box of batteries and at a good price. No longer need to compare pricing in ...,ByNiqueFit
5,Not much to say about batteries except they work for a good price. Having a hundred let's me share with kids and grand kids.,... to say about batteries except they work for a good price. Having a hundred let's me share with ...,ByDave
5,They seem to work okay so far and the price was great.,... to work okay so far and the price was great.,ByBIGGUY
4,I use them for my Xbox controllers and they last pretty long. Great for a cheap price.,... use them for my Xbox controllers and they last pretty long. Great for a cheap price,ByAmazon Customer
5,Seem to hold up as well as any name brand and at a much better price,... well as any name brand and at a much better price,ByRonski
5,Works just as well as every other brand of battery with a better price. Powers all of my sons toys for months at a time.,... well as every other brand of battery with a better price. Powers all of my sons toys for ...,ByCorey L.
3,Just got them so i really wont kno for a few eeeks or so how good these batteries are,... wont kno for a few eeeks or so how good these batteries,ByAmazon Customer
5,These last as well as Energizer- half the price.,1/2 the price,ByTWEagle
1,"These batteries are horrible. We depend on AA batteries for many wireless microphone and have found that brand-name batteries last about a month per our usage. We switched to Amazon basics to try it out when a subscription for our preferred brand was no longer available and have found that, under the same usage, these batteries last about a week. That's a 1/4 capacity.",1/4 Capacity Batteries,ByKeith
5,"3rd purchase of these AA from Amazon, all have expiration of 2027. Ones I've used thus far last as Long as name brands",10 years and strong performace,ByJeff T.
5,I am 100 satisfied with my purchase of these batteries,100 satisfied..,ByGPN
3,"I put these batteries in 10 of the 12 window candles that I bought - I put my last 2 Duracell in the other 2. The Amazon Batteries lasted for about 10 days and the Duracell lasted for 12. Since then I've experimented to see if this is consistent . It is, the Duracell last an average of 17 longer.",17 less battery life than Duracell,ByS. Nash
1,"First time I bought these they worked well and lasted almost as long as the name brands. Not the same this time around, almost no charge - 4-6 hours of run time - Junk batteries.","1st purchase was good, this time they are junk!",ByAlaska Moutian Man
5,Seem to work very well at a great price.,2 THUMBS UP.,ByCharlie
1,These batteries don't last even in a simple digital clock. 2 weeks at best.,2 weeks at best.,ByMark A. Hougham
5,"I buy AAA and AA batteries about 4 - 6 times a year. I made the switch to Amazon batteries about 2 years ago and never looked back. These batteries work just as well as any of the name brands, but at a much more reasonable cost.",2-year Review,ByTravis C.
1,"Date on the back of these were 1992. Yeah, 1992. Inedible.","24 year old Bon Bons, anyone",ByAmazon Customer
4,"GOT THE 48 PACK, I USEDD THEM UP FASTER THAN I THOUGHT I WOULD!!,SO IM ORDERING MORE !! SO IM ORDERING MORE NOW",48 PACK BLISS!!!,Bykaren oakes
5,The 48 packs are the lowest price per AA battery you will find anywhere. I have a device I use for work that needs 8 new AA batteries every working day. These batteries get me through a 12 hour day the same as the expensive batteries. I could switch to rechargeable batteries but the simplicity of just putting in new batteries and not fooling with recharging every night is worth it to me.,48 pack is cheapest per battery you will find anywhere. Same power as name brands.,ByShirtGuy
5,I definitely love the price and quantity.. My kids go tthrough them to fast. At least these will last a while..,48pack,ByAmazon Customer
5,They worked and great price.,5 star,ByAG
5,Batteries. Standard AA kind. We use them everyday. They power many things and these work as good or better than any others.,5 Star review for the AA,ByWilliam
5,Excellent performance and better price.,5 Star!!!,ByA. R. Colon
5,"Arrived earlier than expected. Amazon batteries are not only affordable, but have a long life.",5 stars,ByOli S.
5,Excellent,5 Stars,ByLuis A Molina
5,Great product!,5 Stars,ByJOSH
5,They're batteries!,5 stars,ByMatthew
5,LOVE THESE BATTERIES! BETTER THAN DURACELL AND SAVES ME MONEY! THANK YOU FOR A GREAT PRODUCT AMAZON!,5 STARS FOR AMAZON BATTERIES!,ByHOVI HATTER
5,"Amazon you rock! These work better than name brand batteries and cost nothing. Have the same nice feel of expensive batteries too. Perfect in my opinion, will re purchase!","5 Stars, just buy!",ByAZNickW
5,Amazing so far. These AAA's are even more affordable than the brands at WalMart. Will update if they end up not being good.,5 Stars!,ByMichael
5,works great,5*,Byelan
5,I am happy to report that this order is working fine with no issues. I am very satisfied with this order and plan to buy again from same seller. Thank you. Jn,5*z House of video games...,ByJnzWorld
4,"AmazonBasics batteries are quite good in terms of capacity -- pretty much tied for the top spot compared to the other 6 brands I've tested, but other brands have the edge in capacity per dollar. When I computed value by dividing capacity by the cost per battery of the cheapest package size, they took a respectable third place, and they have the advantage of being a trusted name compared to the value leader. In the images I have attached a graph and a table summarizing my test results for the 7 types I've tested, but if you'd like to know more about how I test ... on to the in-dept test review.I've been on a bit of a quest to test all of the top-selling aaa batteries on Amazon in a repeatable, precise way. This means the same equipment, same environmental conditions, and same slots in the equipment will be used for each test. For each test, I fully discharge 3 batteries in my Opus BT-C2000 battery analyzer at rates of 100 ma, 200 ma, and 400 ma (discharge rate affects usable capacity). I have also performed this exact same test (same equipment, same conditions) on the ACDelco, Duracell Procell, Duracell Coppertop, Energizer MAX, Maxell, and Rayovac. I have linked the other brands I've reviewed at the end of this review if you'd like to take a look at the other results for comparison purposes. For the Amazon Basics batteries, the capacity at each discharge rate was:Disch Rt Capacity Runtime Sample use case100 mA 997 mAh 10 hrs Low-power LED flashlight200 mA 914 mAh 4.5 hrs Electronic toy / medium LED flashlight400 mA 623 mAh 1.5 hrs Motorized toy / bright LED flashlightNote that these (and all other Alkalines) would achieve somewhat higher capacity (maybe 1200 mAh) in a low discharge application like a mouse, keyboard, remote control, etc because alkaline batteries have internal resistance that reduces usable capacity at high discharge rates.The capacity of these batteries is among the best I've tested -- take a look at the attached data table for comparative data. For the cost (0.31/ea in a 36 pack right now), these are a decent but beatable value -- the power supplied per dollar spent is very good, but eclipsed by other currently available options.Comparison:These batteries do well capacity-wise, but value-wise are blown away by the currently cheapest energy/dollar battery that I've tested, the ACDelco aaa's. Their capacity results were:Disch Rt Capacity Runtime100 mA 1005 mAh 10 hrs200 mA 864 mAh 4.3 hrs400 mA 670 mAh 1.7 hrsAs you can see, the Amazon batteries were very comperable ... but, at the current time the AmazonBasics batteries are 0.31/ea (36 pack), while the ACDelco batteries are about 0.21/ea (48 pack) -- so the ACDelco are significantly cheaper per mAh. I did not test shelf life, so it's possible that these may hold up better sitting in a drawer. Although both the Amazon batteries and the ACDelco batteries are certainly made on contract by a third party, I do think that I trust Amazon a bit more to provide consistent batteries than ACDelco ... although I haven't had any trouble with my ACDelco batteries so far. It's also worth noting that the Amazon batteries come in clearly superior packaging - while the ACDelco batteries come in a horrible gigantic plastic blister pack, the Amazon batteries come in a closable cardboard box. If you don't go through a lot of batteries organization of your battery drawer is important to you, that could push them into the all-around winner category despite the 50 price premium.Finally, because another review specifically mentions the Rayovac AA's as being 'good' in some usage scenarios, I thought I'd share my findings for the Rayovac AAA's. In short, they're garbage - the Amazon batteries are better in EVERY case. It's possible that the Rayovac AA's are much better than the AAA's, but I think it's more likely that the version of the Rayovacs tested by the website that he got his results from is different than the most popular Rayovac on Amazon (I source all of my batteries from Amazon). I ran the Rayovac test several times because I couldn't believe how poorly they did ... here are some typical Rayovac results:Disch Rt Capacity Runtime100 mA 908 mAh 9 hrs200 mA 590 mAh 2.9 hrs400 mA 443 mAh 1.1 hrsMy other battery tests/reviews:I have posted reviews for Duracell Coppertop, Duracell Procell and ACDelco aaa alkaline batteries with capacity data gathered using the exact same method and equipment. To find those reviews for comparison purposes, go to the product pages linked below and search for 'mah' under 'all reviews' (or just browse to them on my profile). If/when I do additional aaa tests/reviews in the future, I will update this list.ACDelco AAA Super Alkaline BatteriesDuracell AAA Batteries Coppertop MN2400 - 20 PackDuracell Procell AAA Batteries PC2400BKD09Energizer MAX AAA BatteriesMaxell Alkaline Battery AAA CellRayovac Alkaline AAA Batteries","7 brands, 1 test: results",ByC
1,Battery storage life only lasted 8 months (stored indoors).,8 Month Storage Life,ByCSDennett
4,A good bang for your buck!! Almost everything now a days uses batteries.,A 'GREAT' Value,ByLINDA PROWELL SMITH
2,"If it's possible to have gotten a dud batch I sure got it. We BLEW through all these batteries in less than a month. My kids toys aren't that super powered and even in remotes I was having to change batteries way too often. For example the magic touch counting toy, the store batteries lasted 3 years. Popped in some Amazon batteries, 1 month and the second child didn't play with it nearly as much as the first. For the price it was worth the try but I'm going back to the other brands.",A bad batch,ByShopInNC
5,NICE PRODUCT,A BARGAIN,ByM. B.
5,Great basic batteries! Fantastic price. I like having a stockpile. When my kids get toys at Christmas I feel like Oprah. YOU get a battery! and YOU get a battery!...,A Basic B,ByAmazon Customer
5,"Some day we will probably look back and chuckle about 'primitive' batteries like these. But not yet. They are an integral part of our daily lives. We need food, drink, shelter, love, and BATTERIES! You can't beat the price/quality combination.",A basic need!,ByPaul A. Dietrich
5,A battery is a battery these work just as good if not better than the name brands like Duracell or Enginzer,A battery is a battery these work just as good if not better than the name brands like Duracell ...,ByAmy Stowe
5,"I like to have a good stock of batteries in my home. I am a repeat purchaser of these and other sizes. So far no performance issues. Lasts like Duracell. They might consider improving the graphics though, not very exciting to look at.",A bunch of batteries for a great price.,ByAmazon Customer
5,These worked out great for his battery powered cars I got him. What a awesome deal.,A Christmas gift for my Grandson,ByDV Seel
5,"I used to buy batteries from Costco which come under Kirkland brand. I thought of testing Amazon Basics based on my experience of other Amazon Basics products in the past. These batteries are way better than Kirkland, Energizer and Duracell. The cost is nicely placed. Now my kids have more time to play with toys before the need to replace the batteries. A clear thumbs up!",A clear thumbs up!,ByTarandeep Singh
3,Sorry to say I've been disappointed with these. They didn't last as long in my remotes and RC transmitters as even other store brand alkaline batteries.,A disappointment...,ByR. Hipp
5,Got it and it's already in use.,A first trying it out,ByAmazon Customer
5,Never purchased these before ... Work well so far,A good alkaline,ByRaodmo
4,lasts just as long as duracell,a good alternative to name brand batteries,Byjohn
5,I bought the smaller pack last time and didn't realize how quickly it runs out. Very happy with this amount of batteries.,A good buy,ByHeather
5,Like that I can buy these online and in bulk. Have ordered them several times. A good buy,A good buy,ByK. Bender
4,What can I say Thes batteries work as xpected.,A good buy,BySamuel D. Thomas
4,This large pack of batteries is a cheap alternative to buying other brand names and are particularly useful for gaming. The battery life is every bit as good as the brand name batteries as well. I use these batteries for frequent gaming to power my controller and headset.,A Good Buy for Gamers,ByCollin B.
5,Good deal for rechargeable. They all work and seem to preform well.,A good choice.,By951Jimbo
5,Good batteries at a good price,A good deal,ByLMP
4,They seem to have some good staying power and are cheaper than most other brands. I highly recommend as this box lasts quite a few months with the kids mainly using these for xbox controllers.,A good deal.,ByA. Boyd
5,These batteries are a good value and work well. I have used them in the past and would recommend them to all.,A good purchase,ByRichard
5,A friend advised me to buy my batteries from Amazon. Her family swears by them. I am now using them and agree they are a good buy for the money and I am not worried about running out of batteries or running out to have to buy them.,A good referral,ByBeachdog7
5,"Batteries are pretty much of a commodity as long as they do what they're supposed to do, so I ordered these based on their price -- much cheaper than what you can buy in a store. And these batteries seem to last as long as any of the name brands. A good value.",A good value,ByMarc Strand
5,These Amazon batteries seem like a good value.,A good value,ByMikeRigel
5,Everyone needs AA batteries. These are fine and a great price!,A good value for sure.,ByP. Goldsmith
4,"so many batteries, so little money. A great deal",A great,ByWalter E. Kaiser
4,Works great for everyday AA battery needs,A Great Alternative to National AA Battery Brands,ByCambridgecanal
5,"I got tired of running back and forth to the local store to buy a small package of batteries therefore, I decided to order these since the cost for all of these batteries were approximately the same cost for 6 batteries in a pack. The price was right and the batteries are working very well. This is really a bargain.",A Great Bargain,ByKipper
5,"Great buy for the money - these batteries work very well. I've gotten them in the past. The best part is that they are so inexpensive that you can run through them, and not feel like you're running through your bank account!",A great buy for the money!,Bybejenerous
5,"A great deal, and the batteries have a good life to them. I will buy again when I start running low.","A great deal, and the batteries have a good life ...",ByTravis McDowell
5,"All I buy now is AmazonBasics when it comes to batteries. They are long lasting and a great price. I have tried the AA, AAA, and 9-volt. As a cheap shopper, I am pleased with their performance and price.",A great option for batteries.,ByPatricia M. Dashiell
5,"Between LeapPads, Xbox controllers and remotes, we use batteries a lot. These have held up great with a comparable lifespan to other household brands.",A great option!,ByJennifer R Becker
5,I buy all my batteries here. Great long lasting batteries.,A great place for Batteries,ByCathy Watson
5,"You know those crazy cheap batteries that are so light you practically hit yourself in the face when you pick one up These aren't those.I've already purchased a couple sets of these and have been really happy with the quality/lifespan. I'd say they're DEFINTELY comparable to the more expensive name brands. I've happily recommended them to friends and family, and it's so handy always having plenty of AA batteries, especially around birthdays and holidays!",A great price for a ton of quality batteries!,BySarah R Bennett
5,My PS3 remote control and my television remote controls work again thanks to these AAA batteries.,A great value and significantly cheaper that Duracel or Energizer,ByRory P. Biggins
5,"As a teacher, I need tons of batteries, but I refused to spend excessive amounts on them, so I figured this was the best option! They are long-lasting, worth the money, cute (if that even matters, lol)! You won't find a deal like this in stores!I highly recommend!",A great value for those that run through batteries like air!,ByILIR17
4,"Ive been buying these since they started selling them. The last batch, I had one that leaked. It was in a rather expensive candle, so a heads up for those using this battery to check once in a while. Ive never had this happen before. It turned all brown on one side and could have ruined my candle if I didnt clean it out real good. The battery was only week old, used infrequently in an air conditioned home. I will still continue to buy these.",A leaker in the pack,ByCurtis Taylor Numberg
2,"I can only use these on those indoor flameless candles and even then, they dont last very long...a little disappointed...",a little disappointed..,ByPaul J.
5,"Lieutenant Dan got me these batteries. So then I got a call from him, saying we dont have to worry about batteries no more. And I said, thats good! One less thing. -Forrest",A lot of batteries,ByAdam
5,"A lot of batteries for the money. So far, all working well.",A lot of batteries for the money. So far ...,ByDoug
5,Great Batteries,A lot of power for a little price,ByWilliam A Gioiosa
5,I happen to have remote controls in our house and this item certainly is a must in my living room.,A must in my living room,ByLuis Dyer
5,"You know you need them, so why not get a bunch. I'm the battery guy for the kids toys, so I have to keep them on hand at all times!",A needed item,ByGary H. Labowitz
5,"Worked exactly as they are supposed to, good price, good quality. lasting a nice long time, A good buy.",A nice deal on good batteries.,Byaardvark
5,"This is a great purchase. My outdoor cameras on my house them. Compared to the leading namebrands, I find these to last longer. I am getting four months per pair of batteries instead of three months with my surveillance cameras.",A positive boost for my equipment.,ByChristopher Malone
5,"I've been buying AAA alkaline batteries in packages of four at the dollar store and thought I was getting a pretty good deal on the price, but it bothered me to have to throw away so much packaging every time I needed four batteries. Then I was checking out a fellow reviewer's profile and found a review of the AmazonBasics AAA batteries. He (or she, I can't remember) claimed these work as well or better than name brands and are even less expensive than the dollar store deals and with much less waste in the packaging.So I ordered some and his advice was right on the money. I've used them (so far) in small flashlights and in one of my TENS machines. Great performance. The price (which seems to fluctuate) is less than I was paying locally. Best of all, you get 36 batteries in a tiny cardboard box that measures 4 1/4 x 2 1/4 x 2 1/4. There are 9 sealed packages of 4 batteries each, but there's much less waste in the packaging. Amazon claims 10-year, no-leak shelf life for them, but even I use batteries faster than that.I think this is a great product at a great price and I love the packaging. Glad I stumbled onto them.",A small price and an even smaller footprint,ByWhistlers Mom
5,"Thats a whole lot of batteries! I ordered the 48 pack of AA batteries and its so much cheaper than a much smaller branded pack from the big chain stores. They arrived packaged well and wrapped nicely, see included pictures for details. I like to keep extra batteries around because most new electronics do not have included batteries these days. I hate getting a device in the mail and scavenging the house for batteries or stealing them from the remote controls. At this price, we can all afford to keep a bunch on hand. Ive tested these on several devices so far and they appear to be comparable to brand name batteries, they last a long time and bring all my electronics to life with renewed vigor. I'll definitely be buying more in the future.",A ton of batteries for cheap,ByMatthew B.
5,"of course these are no energizer bunny batteries, but for the price and amount you get, you cant beat it! They come in individual packs of 4, inside a white box to keep them in. I would recommend it",a ton of batteries for great price,ByAshley Mervin
5,"A good deal, well packed in reusable package",a very good deal,ByMs.Bane
1,During my first recharging they were leaking and wrapping was coming off. A waste of money,A waste of,Byslick55
2,TERRIBLE! Barely lasted three hours during a digital camera shoot where Duracell lasts multiple days.,A Waste of Money,ByFar2Organized
5,I bought these batteries to use with a battery operated pump that transfers gas from a gas can into the tank of my riding mower. This is a far better way of fueling my mower than trying to lift a five gallon tank and trying to empty it into the mower tank. The pump uses 4 AA batteries and that is the way the Amazon batteries are packaged. Having them bundled in foursomes is convenient. My pump runs perfectly with these batteries.These batteries are said to have a shelf life of ten years so I won't be having to buy more AA batteries for at least that long. The price of these batteries is a genuine bargain and is it highly recommended to get this offer if AA batteries are needed.,A Winner,ByDuffer.
5,Seem to work fone for a fraction of the price!,A-ok,ByDeKalz
5,Good price. Good product,A+,Bymarichal
5,Great battery just as good as the name brands.,A+,Bywilliam kern
5,Great value,A+,Byrobtay7
5,Perfect and what a deal - very pleased!,A+,ByMariB
5,The batteries works very well. Great quality. You can't beat the price,A+,ByDZ
5,These batteries are as good or better than any brand of alkaline battery on the market today.,A+ best you can buy.,ByBryan Pike
5,Great value!,A+ Product,ByAmazon Customer
5,Greaatttt deal. This probably the only way I'll be buying batteries at a good price too.,A++,Bybrian perez
5,Works just as well as any other battery brand we have bought!,A+++,ByCarla
5,A+A+A+A+A+ FAST DELIVERY JUST AS DESCRIBE,A+A+A+A+A+ FAST DELIVERY JUST AS,Bysheila ware
5,Good price,AA,ByDS-Says
5,"They are batteries, they worked, enough said.....",AA,ByK2
5,A great deal for the price. Let's hope these alkaline last longer.,AA Alkaline Batteries,ByROBERT BERNACCHI
5,These batteries are as good as other brands and a bargain to boot.,AA bargain,ByFlint
5,AA batteries are replacements and have worked well so far,AA batteries,Bygentlman4u
5,AA batteries worked as advertised.,AA batteries,ByAlex P.
5,Awesome buy. Very happy with these. This is my second order of these batteries. Will continue to purchase when needed.,AA batteries,BySusie 28
5,awesome so far no duds,AA Batteries,Bykspol
5,Came fast. Great price. Seems to last as long as expensive batteries.,AA Batteries,ByT. Bicehouse
5,"Good price, fast shipping, Will shop again.",AA Batteries,ByHappyGrumpy
5,Good value. As good as Duracell,AA batteries,ByF A Howayeck Jr
5,Great Quality ...Excellant Price,AA Batteries,BySands
5,"High quality. great value, as advertised, trusted company.. Will definitely buy again and tell others.You will be pleased.",AA Batteries,ByJoe Brown
5,I bought this for a friend.,AA batteries,ByBOS116
5,Never can have too many.,AA batteries,Byprecious
5,"So far I have had no complaints with these batteries. I was hesitate at first because they were cheaper than your big name brands. I figured they may not last long. But I was proven wrong. They have lasted just as long as the big name brands, and they are a lot cheaper. I buy these for work and for home. They do not disappoint me at either place.",AA batteries,ByJennifer
5,These Amazon AA batteries are great. They are just as good as any high priced battery.,AA Batteries,ByKate
4,"Yes, I'm using these and they are as good as any other battery.",AA batteries,ByLin
5,Good price and good product.,AA batteries from Amazon,ByMoose MaGee
5,I was very impressed with the packaging of these batteries. They work as well as any of the top commercial AA batteries. I will keep them handy for any future use.,AA Batteries from Amazon Basics,ByDavid L. Casey
5,Another great offer from Amazon that delivers perfarmance and price for your electronic agenda 1,AA Batteries that offer quality and price from Amazon,ByMort Roberts
5,"These batteries are exactly what I was looking for. I was looking for affordable AA batteries with a long shelf life that I could keep around for an emergency or extended power outage. These Amazon alkaline batteries are advertised as having 10 years shelf life, and after receiving them I confirmed that on each battery is printed the expiration year 2025, which is what I expected having bought them in 2015.Now I won't have to by ordinary batteries that end up discharging internally in just a few years. The environment and my pocket are grateful. Thanks Amazon!",AA batteries with 10 years shelf life,ByAndre M.
5,"Great deal, better than local stores","AA batteries, good deal, what else could you want",ByPez
4,Last just as long as other less expensive brands.,AA battery life,ByKen Voss
5,"I purchased these to compare against the Duracell's I normally buy. These appear to be an excellent value, but only time will tell. Currently I am using them along with the Duracell's in some fake candle lights that my wife has to see if they last as long as the Duracell's. So far so good.",AA battery test,ByRJS
5,These are really good batts and a great price.,AA batts,ByAmazon Customer
5,AA batteries worked perfectly out of the box!,AA batts work perfectly!,ByF. Weyerts
5,Works good so far. Time will tell the true story. Great price!,AA me,ByKen Walker
5,They are batteries...what can I say!,AA rated,ByPaul Kruger
5,"Excellent batteries and it's a better value than buying the batteries in smaller packs. Amazon's batteries are just as good as other manufacturers. With the subscribe and save, it's even a better deal.",AA Top Performance at a Good Price!,ByBluesHawk707
5,So far the batch is worth it. The batteries are solid and work well. When they are on sale they are worth the buy.I recommend and would buy again.,AA worth it.,ByScottB
4,AA! Would buy again!,AA+++!,ByKimo
5,They work!,AAA,BySuperstar
5,they work. good price. as expected,aaa,ByClayTheMan
5,A wonderful way to purchase these.,AAA Alkaline Batteries,ByCaptive Yet Free
5,work great,AAA alkaline Batteries,ByNancy
4,"As advertised, I have not had any problems.",AAA Batteries,ByAmazon Customer
5,As expected. Like the box they came in.,AAA BATTERIES,Bymuriel
4,Good value for the money Will order again,AAA Batteries,ByB3
5,great batteries,AAA batteries,ByJack C Kassapian
5,Great price!,AAA Batteries,"ByMetro Exteriors, Inc."
5,I find these packs of batteries are less expensive and I always have some available - no running to the store for a battery,AAA batteries,BySharon Kane
4,Needed some more batteries for the home and these were reasonably priced. Have been using for a week and so far they are working well.,AAA Batteries,ByMJ
5,These work just fine and were purchased at a good price.,AAA batteries,ByDean A. Park
5,Very nice packaging. Good batteries.,AAA Batteries,ByNorman
4,We'll See how they last.,AAA Batteries Amz Basics,ByJimbosocal
5,Batteries. AAA. They fit and work in objects requiring AAA batteries.*Not for internal consumption.,AAA Batteries that work just like batteries!,ByTMB
1,These don't last long at all.,AAA batteries.,Byirenegirl
5,AAA batteries. They last adequately and are at a very competitive price point. For that reason I don't think I will be buying batteries from any competitor if they're more expensive than these. Bravo Amazon.,AAA batteries. They last adequately and are at a ...,ByLisa Marie
5,Love these batteries. They last just as long as the top name brand battery for a fraction of the price. Look no further. Check out the discharge and compare. They are solid!,AAA+ Batteries!,ByGuitarGuy310
5,"I have been using these batteries for some time now and they seem to be holding up as well or better than any name brand I have used in the past. The price, packaging and shelf life make Amazon batteries a winner.",AAA+++,ByLaropy
5,No troubles,AAAAA,Byjanet
2,"Use these in a wireless BT mouse. Has about 30 less life as copper top brand. Good price, but most likely will not buy again.",About 30 less life as other brand - but price is hard to ignore,ByAnonz
5,Great product and u can't beat this price anywhere,Absolute worth of ur money!,Byanosh
5,You can never have too many batteries. Fair price and and lasts as long as the bunny ones.,Absolutely fine,ByAmazon Customer
1,"Lasted about a week in my electric toothbrush. Energizer and Duracell brand lasted a month. Tried with 4 different Amazon batteries, same results. Very dissatisfied",Abysmal battery life,ByNate
4,Good less expensive bulk pack. Great alternative for toys and games that seem to eat batteries and won't break the bank. Seem to work well enough and rival the name brands. Will buy again.,Acceptable less expensive alternative...,ByIma Rascal
5,You get what you pay for in life bht for the lrice and amount these are actually great one say or two days of strong power for flashlights or wireless headphones etc. For remotes theyblast for quite a while. Package was nice fast delivery thunking of actually buying different sizes for other electronics ...would definitly order again ...kinda like gas not premium or regular something like a plus ....lol i have tried all those other expensive brands thats supposed to last 10x more longer well by the time you pay for one pack and get maybe a months wirth depending on usage you could have a 100 of these and still have left over......just saying your not buying tires or brakes for your car so test them out they sell it in smaller amounts and subscdiption amount etc....,Actually pretty good,Byralph
